"dap","treat_desc","ratio"
-16,"Active Inclusion",0.0718784955713679
-11,"Active Inclusion",0.0773913903052316
-9,"Active Inclusion",0.0793394916416968
-6,"Active Inclusion",0.0715817861514641
4,"Active Inclusion",0.0434430713820107
44,"Active Inclusion",0.339413835283588
54,"Active Inclusion",0.422886837419926
64,"Active Inclusion",0.492804401791563
69,"Active Inclusion",0.519843722675361
71,"Active Inclusion",0.531831923507008
91,"Active Inclusion",0.594056246327419
94,"Active Inclusion",0.177108820856494
99,"Active Inclusion",0.183335331871229
104,"Active Inclusion",0.320314137959013
109,"Active Inclusion",0.381238336948787
111,"Active Inclusion",0.494971903807977
114,"Active Inclusion",0.488274406276497
119,"Active Inclusion",0.501358841856321
124,"Active Inclusion",0.511675720340481
129,"Active Inclusion",0.381356257287895
-16,"Control",0.0687433314028282
-11,"Control",0.0782935124448532
-9,"Control",0.0759523886701335
-6,"Control",0.0692302139322971
4,"Control",0.0431391677598734
44,"Control",0.386477487314726
54,"Control",0.466461275654714
64,"Control",0.537079509041736
69,"Control",0.559977011044244
71,"Control",0.56701696401345
91,"Control",0.605088430326342
94,"Control",0.173869092953234
99,"Control",0.18985295727633
104,"Control",0.332970414544649
109,"Control",0.362116865183852
111,"Control",0.461543170078365
114,"Control",0.481877643992935
119,"Control",0.494473510822236
124,"Control",0.532781564887019
129,"Control",0.371763634724893
-16,"Deep Rip",0.0724283455280014
-11,"Deep Rip",0.0797180936206132
-9,"Deep Rip",0.0795216094344281
-6,"Deep Rip",0.0723446736452528
4,"Deep Rip",0.0432357641402632
44,"Deep Rip",0.363030783115671
54,"Deep Rip",0.441357955479851
64,"Deep Rip",0.511135323976095
69,"Deep Rip",0.537103487608524
71,"Deep Rip",0.547568688527323
91,"Deep Rip",0.599914939930806
94,"Deep Rip",0.175179340787089
99,"Deep Rip",0.188399675248477
104,"Deep Rip",0.327850662386761
109,"Deep Rip",0.378704785118596
111,"Deep Rip",0.473943892221611
114,"Deep Rip",0.485595473876366
119,"Deep Rip",0.495089154332303
124,"Deep Rip",0.520558616146445
129,"Deep Rip",0.370861615555791
-16,"Kuhn Performer",0.0724598884133689
-11,"Kuhn Performer",0.0780555449156876
-9,"Kuhn Performer",0.080089436363743
-6,"Kuhn Performer",0.0723931501608297
4,"Kuhn Performer",0.0438157052878874
44,"Kuhn Performer",0.344809545738151
54,"Kuhn Performer",0.41784714880478
64,"Kuhn Performer",0.484325471628143
69,"Kuhn Performer",0.513814962556563
71,"Kuhn Performer",0.526616016425282
91,"Kuhn Performer",0.593934370667101
94,"Kuhn Performer",0.170383083838296
99,"Kuhn Performer",0.190384062981031
104,"Kuhn Performer",0.340394626360342
109,"Kuhn Performer",0.335473416260926
111,"Kuhn Performer",0.450953246240156
114,"Kuhn Performer",0.486170029209321
119,"Kuhn Performer",0.49994317824582
124,"Kuhn Performer",0.546348248260567
129,"Kuhn Performer",0.377579275024943
-16,"Passive Inclusion",0.0720835668296715
-11,"Passive Inclusion",0.0773137903665272
-9,"Passive Inclusion",0.0782223325268272
-6,"Passive Inclusion",0.0711609188895354
4,"Passive Inclusion",0.0429483302538727
44,"Passive Inclusion",0.332624463733368
54,"Passive Inclusion",0.413660614298142
64,"Passive Inclusion",0.485782814127892
69,"Passive Inclusion",0.51700403725314
71,"Passive Inclusion",0.530655680629618
91,"Passive Inclusion",0.596623170783875
94,"Passive Inclusion",0.169896624490509
99,"Passive Inclusion",0.19007472449818
104,"Passive Inclusion",0.348563042567237
109,"Passive Inclusion",0.314255381144201
111,"Passive Inclusion",0.43121606971349
114,"Passive Inclusion",0.48599414028282
119,"Passive Inclusion",0.501662663332116
124,"Passive Inclusion",0.550419830459837
129,"Passive Inclusion",0.377824653404558
