"dap","treat_desc","ratio"
-19,"Bednar",0.00821740780226433
-14,"Bednar",0.0771389760056071
-9,"Bednar",0.0734779525004076
1,"Bednar",0.0952277238574925
6,"Bednar",0.0842831988473622
16,"Bednar",0.0772313933317246
23,"Bednar",0.088028540185998
26,"Bednar",0.0868175025045704
31,"Bednar",0.0978666479291206
43,"Bednar",0.140669649738944
61,"Bednar",0.259560022754281
63,"Bednar",0.262597422000397
71,"Bednar",0.339822843628988
76,"Bednar",0.373575446018007
81,"Bednar",0.396631182746941
91,"Bednar",0.437957529941302
96,"Bednar",0.427820093929768
103,"Bednar",0.469947658228071
111,"Bednar",0.440589117786188
116,"Bednar",0.404799093272579
123,"Bednar",0.37408020255271
-19,"Control",0.00946640394396656
-14,"Control",0.0741073961480189
-9,"Control",0.0720529047677578
1,"Control",0.0896496290793527
6,"Control",0.0881962961396255
16,"Control",0.0802841235141633
23,"Control",0.087386270048423
26,"Control",0.0877324684528308
31,"Control",0.0926237612710161
43,"Control",0.113156339206265
61,"Control",0.162635804169764
63,"Control",0.182759258811925
71,"Control",0.199874218048181
76,"Control",0.221106727686474
81,"Control",0.255686848050794
91,"Control",0.294543738587428
96,"Control",0.307249218941072
103,"Control",0.354649154858737
111,"Control",0.374581342826119
116,"Control",0.356592123665042
123,"Control",0.346456095239537
-19,"Deep_Ripping",0.0113294010750851
-14,"Deep_Ripping",0.0837066989053379
-9,"Deep_Ripping",0.0803750268437646
1,"Deep_Ripping",0.10307741603165
6,"Deep_Ripping",0.0936928777080594
16,"Deep_Ripping",0.0847360733332056
23,"Deep_Ripping",0.0874792774969881
26,"Deep_Ripping",0.0703024332270478
31,"Deep_Ripping",0.0906134361118981
43,"Deep_Ripping",0.11437001151569
61,"Deep_Ripping",0.170403180474585
63,"Deep_Ripping",0.198919738693671
71,"Deep_Ripping",0.223999438999277
76,"Deep_Ripping",0.256848679392627
81,"Deep_Ripping",0.284767032933958
91,"Deep_Ripping",0.342296467676307
96,"Deep_Ripping",0.359958735650236
103,"Deep_Ripping",0.411630246675376
111,"Deep_Ripping",0.42135423819224
116,"Deep_Ripping",0.401207982771324
123,"Deep_Ripping",0.386109262704849
-19,"Horsch",0.00870701533350221
-14,"Horsch",0.0848533926205446
-9,"Horsch",0.0809796289409285
1,"Horsch",0.0971710278026465
6,"Horsch",0.0874790187377883
16,"Horsch",0.0802289144172844
23,"Horsch",0.0873087828105452
26,"Horsch",0.0852300584905565
31,"Horsch",0.094553401598991
43,"Horsch",0.129427321907659
61,"Horsch",0.225114558418255
63,"Horsch",0.239605283248896
71,"Horsch",0.298923403950734
76,"Horsch",0.3352519699325
81,"Horsch",0.361075363295563
91,"Horsch",0.404334815334802
96,"Horsch",0.403806128575977
103,"Horsch",0.447151433781715
111,"Horsch",0.427012596174148
116,"Horsch",0.395650480931762
123,"Horsch",0.369112519305305
-19,"Inlcusion_Ripping",0.0137291076165383
-14,"Inlcusion_Ripping",0.084822992771125
-9,"Inlcusion_Ripping",0.0817508013411002
1,"Inlcusion_Ripping",0.107194203421597
6,"Inlcusion_Ripping",0.0861391440526513
16,"Inlcusion_Ripping",0.0774123829381525
23,"Inlcusion_Ripping",0.0854175482407089
26,"Inlcusion_Ripping",0.0601477737207551
31,"Inlcusion_Ripping",0.086242583972856
43,"Inlcusion_Ripping",0.105737763988085
61,"Inlcusion_Ripping",0.131082864278112
63,"Inlcusion_Ripping",0.166145823095456
71,"Inlcusion_Ripping",0.163081481991228
76,"Inlcusion_Ripping",0.187543712617937
81,"Inlcusion_Ripping",0.214009350181119
91,"Inlcusion_Ripping",0.268110494475719
96,"Inlcusion_Ripping",0.299297498523696
103,"Inlcusion_Ripping",0.35376888464305
111,"Inlcusion_Ripping",0.388237203448272
116,"Inlcusion_Ripping",0.37350388622481
123,"Inlcusion_Ripping",0.367392813124933
-19,"Plozza_Plough",0.0110984406500593
-14,"Plozza_Plough",0.0786136236483768
-9,"Plozza_Plough",0.0725250980106451
1,"Plozza_Plough",0.101643596008673
6,"Plozza_Plough",0.0790227432119644
16,"Plozza_Plough",0.0732707446914608
23,"Plozza_Plough",0.0848363603575755
26,"Plozza_Plough",0.0857623645435956
31,"Plozza_Plough",0.091401498726869
43,"Plozza_Plough",0.121110118445704
61,"Plozza_Plough",0.214677128423068
63,"Plozza_Plough",0.222305458177954
71,"Plozza_Plough",0.301791957727933
76,"Plozza_Plough",0.340864843534211
81,"Plozza_Plough",0.360193721268137
91,"Plozza_Plough",0.420016166416265
96,"Plozza_Plough",0.414273888781919
103,"Plozza_Plough",0.462348602585873
111,"Plozza_Plough",0.444620280851752
116,"Plozza_Plough",0.409125840057761
123,"Plozza_Plough",0.382272760544793
-19,"Rotary_Spading",0.0142860759906471
-14,"Rotary_Spading",0.0785134065151215
-9,"Rotary_Spading",0.0726006567180157
1,"Rotary_Spading",0.095116496860981
6,"Rotary_Spading",0.0771629431247711
16,"Rotary_Spading",0.0716195642650127
23,"Rotary_Spading",0.0821968829631805
26,"Rotary_Spading",0.0610261091887951
31,"Rotary_Spading",0.0884362717270851
43,"Rotary_Spading",0.11285576236248
61,"Rotary_Spading",0.159907054841518
63,"Rotary_Spading",0.191615865111351
71,"Rotary_Spading",0.22427864575386
76,"Rotary_Spading",0.265954751491547
81,"Rotary_Spading",0.299566460728645
91,"Rotary_Spading",0.407244073629379
96,"Rotary_Spading",0.425787626266479
103,"Rotary_Spading",0.490782701730728
111,"Rotary_Spading",0.484312885284424
116,"Rotary_Spading",0.450417463064194
123,"Rotary_Spading",0.433811040401459
-19,"TopDown",0.0102615193631575
-14,"TopDown",0.0795782186184664
-9,"TopDown",0.0749387151602679
1,"TopDown",0.102184359007661
6,"TopDown",0.0845400447131328
16,"TopDown",0.0779879587063999
23,"TopDown",0.08379162042021
26,"TopDown",0.0842675031309233
31,"TopDown",0.0884254921766572
43,"TopDown",0.108676327451033
61,"TopDown",0.159245922669487
63,"TopDown",0.181464894598573
71,"TopDown",0.221392043028613
76,"TopDown",0.264336374430162
81,"TopDown",0.296286775115526
91,"TopDown",0.373576904008598
96,"TopDown",0.396570249267344
103,"TopDown",0.454307164411125
111,"TopDown",0.45080029917588
116,"TopDown",0.419333985204217
123,"TopDown",0.401930369108728
