"dap","treat_desc","zone_id","ratio"
-19,"Bednar","1",0.00778538957086367
-14,"Bednar","1",0.0784307048941145
-9,"Bednar","1",0.0746663045518252
1,"Bednar","1",0.096560025732128
6,"Bednar","1",0.0868324912324244
16,"Bednar","1",0.0785442137596559
23,"Bednar","1",0.0898075415467729
26,"Bednar","1",0.0923424454824049
31,"Bednar","1",0.100178814116789
43,"Bednar","1",0.145788117543775
61,"Bednar","1",0.275494205525943
63,"Bednar","1",0.278216144929127
71,"Bednar","1",0.355500402924966
76,"Bednar","1",0.387483855534573
81,"Bednar","1",0.406248472113999
91,"Bednar","1",0.447714389708577
96,"Bednar","1",0.434260566867128
103,"Bednar","1",0.475011291187637
111,"Bednar","1",0.443778009803928
116,"Bednar","1",0.407556034107597
123,"Bednar","1",0.376203576885924
-19,"Control","1",0.00931593010419011
-14,"Control","1",0.0752085312654119
-9,"Control","1",0.0735731477584314
1,"Control","1",0.0908589921891689
6,"Control","1",0.0907354621438805
16,"Control","1",0.0817178009641827
23,"Control","1",0.0884655934134755
26,"Control","1",0.0914707799877869
31,"Control","1",0.0933155053457536
43,"Control","1",0.111003172780396
61,"Control","1",0.15360889211297
63,"Control","1",0.179305407090471
71,"Control","1",0.187278311050266
76,"Control","1",0.207763551982171
81,"Control","1",0.24493618183043
91,"Control","1",0.283117116864668
96,"Control","1",0.298981650843533
103,"Control","1",0.349112253328529
111,"Control","1",0.374699594230827
116,"Control","1",0.358229837149655
123,"Control","1",0.350978655962769
-19,"Deep_Ripping","1",0.0128737422637641
-14,"Deep_Ripping","1",0.0837906103919853
-9,"Deep_Ripping","1",0.0803618786009875
1,"Deep_Ripping","1",0.103339270773259
6,"Deep_Ripping","1",0.0943666225807233
16,"Deep_Ripping","1",0.0849632654000412
23,"Deep_Ripping","1",0.0890502341768958
26,"Deep_Ripping","1",0.0741280057890849
31,"Deep_Ripping","1",0.0918556514788758
43,"Deep_Ripping","1",0.114984545247121
61,"Deep_Ripping","1",0.172550726275552
63,"Deep_Ripping","1",0.199020113728263
71,"Deep_Ripping","1",0.226235948164355
76,"Deep_Ripping","1",0.259664649448612
81,"Deep_Ripping","1",0.284450553493066
91,"Deep_Ripping","1",0.34095054350116
96,"Deep_Ripping","1",0.357252020998435
103,"Deep_Ripping","1",0.405570260774006
111,"Deep_Ripping","1",0.413188400051811
116,"Deep_Ripping","1",0.394381659952077
123,"Deep_Ripping","1",0.378210355205969
-19,"Horsch","1",0.00788428697442214
-14,"Horsch","1",0.0847105858442576
-9,"Horsch","1",0.0808019150210463
1,"Horsch","1",0.0973956216288649
6,"Horsch","1",0.0891567422320013
16,"Horsch","1",0.0806955637491268
23,"Horsch","1",0.088684854818427
26,"Horsch","1",0.0878268977708143
31,"Horsch","1",0.0970871250914491
43,"Horsch","1",0.135192559659481
61,"Horsch","1",0.245760875357234
63,"Horsch","1",0.258154677243336
71,"Horsch","1",0.321761962123539
76,"Horsch","1",0.356733916181585
81,"Horsch","1",0.381735743063947
91,"Horsch","1",0.417857250376888
