"dap","treat_desc","ratio"
-14,"Bednar",0.0661252417022318
-4,"Bednar",0.0807603050287314
3,"Bednar",0.0345296140299678
8,"Bednar",0.0789423836028482
11,"Bednar",0.0856057351792422
16,"Bednar",0.0757896670206325
28,"Bednar",0.0971220246860831
31,"Bednar",0.0919679193867473
36,"Bednar",0.0716846705685685
38,"Bednar",0.0957273167418683
41,"Bednar",0.0970880329080923
43,"Bednar",0.101465495259274
46,"Bednar",0.104603870969823
48,"Bednar",0.12115699369607
53,"Bednar",0.113677304267414
58,"Bednar",0.134029342521598
65,"Bednar",0.167771791995276
68,"Bednar",0.180438220706277
71,"Bednar",0.16659774906992
73,"Bednar",0.121066645139784
76,"Bednar",0.220352427051293
78,"Bednar",0.203540662846227
81,"Bednar",0.0489611413153842
83,"Bednar",0.259293599538212
85,"Bednar",0.264073739664292
86,"Bednar",0.153361801204719
88,"Bednar",0.258156555726772
91,"Bednar",0.254472261573386
93,"Bednar",0.0710709176253615
96,"Bednar",0.361071078502756
98,"Bednar",0.36239530263454
103,"Bednar",0.422293135734994
105,"Bednar",0.243199561524579
108,"Bednar",0.379300985279984
111,"Bednar",0.44031012410254
113,"Bednar",0.40478408254507
116,"Bednar",0.35932411857712
118,"Bednar",0.209278266495607
121,"Bednar",0.418825867607838
123,"Bednar",0.0063380807660229
-14,"Bednar + Delve",0.0631789610913349
-4,"Bednar + Delve",0.0787805040322599
3,"Bednar + Delve",0.0372918904300489
8,"Bednar + Delve",0.0759002400769128
11,"Bednar + Delve",0.0849380191297285
16,"Bednar + Delve",0.0736243216586965
28,"Bednar + Delve",0.0961694024976284
31,"Bednar + Delve",0.0924074902598347
36,"Bednar + Delve",0.0638688851207022
38,"Bednar + Delve",0.0955453035495584
41,"Bednar + Delve",0.0985467222534002
43,"Bednar + Delve",0.102355820023351
46,"Bednar + Delve",0.105829469238718
48,"Bednar + Delve",0.123180727991793
53,"Bednar + Delve",0.116219271624845
58,"Bednar + Delve",0.137962763685556
65,"Bednar + Delve",0.171545817768053
68,"Bednar + Delve",0.18407060321243
71,"Bednar + Delve",0.168035026166647
73,"Bednar + Delve",0.132241888976996
76,"Bednar + Delve",0.222866542459953
78,"Bednar + Delve",0.205148242827919
81,"Bednar + Delve",0.0489978872771774
83,"Bednar + Delve",0.257060718353069
85,"Bednar + Delve",0.260976224250737
86,"Bednar + Delve",0.167079600934235
88,"Bednar + Delve",0.233422111010268
91,"Bednar + Delve",0.251114383812935
93,"Bednar + Delve",0.0773758367295303
96,"Bednar + Delve",0.352812150818488
98,"Bednar + Delve",0.377420183093775
103,"Bednar + Delve",0.412071643012857
105,"Bednar + Delve",0.23021656869068
108,"Bednar + Delve",0.38411792675181
111,"Bednar + Delve",0.431141306720083
113,"Bednar + Delve",0.399781543229307
116,"Bednar + Delve",0.36228121261275
118,"Bednar + Delve",0.262504721681277
121,"Bednar + Delve",0.413399900590617
123,"Bednar + Delve",0.00771125373446719
-14,"Control",0.0690671786079916
-4,"Control",0.0843972431474857
3,"Control",0.0353891325815649
8,"Control",0.0792396935295969
11,"Control",0.0878658928674705
16,"Control",0.0775562453080206
28,"Control",0.0996298065569517
31,"Control",0.0954249180881272
36,"Control",0.0689046435644118
38,"Control",0.0986976693576195
41,"Control",0.10403987862979
43,"Control",0.106672437449966
46,"Control",0.107609756095579
48,"Control",0.12235379445084
53,"Control",0.115492308519306
58,"Control",0.134381232859937
65,"Control",0.162953986015436
68,"Control",0.171380294479904
71,"Control",0.164372277505389
73,"Control",0.133823563515693
76,"Control",0.206528976252686
78,"Control",0.193512798555558
81,"Control",0.0493063041417117
83,"Control",0.238608148186171
85,"Control",0.242952414694127
