"dap","treat_desc","zone_id","ratio"
-14,"Bednar","1",0.0684993559522415
-4,"Bednar","1",0.0811297440929199
3,"Bednar","1",0.0417194245991283
8,"Bednar","1",0.0803456018442538
11,"Bednar","1",0.0873532917962145
16,"Bednar","1",0.0798133143515729
28,"Bednar","1",0.0920911353470674
31,"Bednar","1",0.0911960357160711
36,"Bednar","1",0.0745033893122602
38,"Bednar","1",0.0866820693238458
41,"Bednar","1",0.0872887290680586
43,"Bednar","1",0.0886273140560335
46,"Bednar","1",0.0856600908645943
48,"Bednar","1",0.104041539688609
53,"Bednar","1",0.0901723883267659
58,"Bednar","1",0.098529013457583
65,"Bednar","1",0.113219619242113
68,"Bednar","1",0.113064386728984
71,"Bednar","1",0.142774614825178
73,"Bednar","1",0.11957637298463
76,"Bednar","1",0.140268099285773
78,"Bednar","1",0.153700778955844
81,"Bednar","1",0.0495863688081058
83,"Bednar","1",0.178061715146499
85,"Bednar","1",0.192837015906377
86,"Bednar","1",0.117686557903219
88,"Bednar","1",0.219536314704525
91,"Bednar","1",0.205222266601093
93,"Bednar","1",0.0747026612620745
96,"Bednar","1",0.309942154964404
98,"Bednar","1",0.346051718316861
103,"Bednar","1",0.395681145920682
105,"Bednar","1",0.141455308381301
108,"Bednar","1",0.352145024644795
111,"Bednar","1",0.436974391118804
113,"Bednar","1",0.406825286238941
116,"Bednar","1",0.363534977186972
118,"Bednar","1",0.19238924090542
121,"Bednar","1",0.426938524441933
123,"Bednar","1",0.00939121241194766
-14,"Bednar + Delve","1",0.0631809138692915
-4,"Bednar + Delve","1",0.0782421700656414
3,"Bednar + Delve","1",0.0309249571175314
8,"Bednar + Delve","1",0.0748105412349105
11,"Bednar + Delve","1",0.0831143924966455
16,"Bednar + Delve","1",0.0758754389360547
28,"Bednar + Delve","1",0.0935257207602262
31,"Bednar + Delve","1",0.0898057276383042
36,"Bednar + Delve","1",0.06509905802086
38,"Bednar + Delve","1",0.0860201474279165
41,"Bednar + Delve","1",0.0874553121626377
43,"Bednar + Delve","1",0.0896447287872434
46,"Bednar + Delve","1",0.0875972906127572
48,"Bednar + Delve","1",0.10581702683121
53,"Bednar + Delve","1",0.0940913017839193
58,"Bednar + Delve","1",0.104666876979172
65,"Bednar + Delve","1",0.120987432450056
68,"Bednar + Delve","1",0.12352316044271
71,"Bednar + Delve","1",0.150095823407173
73,"Bednar + Delve","1",0.140579777956009
76,"Bednar + Delve","1",0.152341214567423
78,"Bednar + Delve","1",0.164266214519739
81,"Bednar + Delve","1",0.0496403595432639
83,"Bednar + Delve","1",0.184981314837933
85,"Bednar + Delve","1",0.200804735347629
86,"Bednar + Delve","1",0.126554013602436
88,"Bednar + Delve","1",0.199705683067441
91,"Bednar + Delve","1",0.204924846440554
93,"Bednar + Delve","1",0.0826456217095256
96,"Bednar + Delve","1",0.294841299578547
98,"Bednar + Delve","1",0.330796507745981
103,"Bednar + Delve","1",0.369055691361427
105,"Bednar + Delve","1",0.149123341776431
108,"Bednar + Delve","1",0.361468905210495
111,"Bednar + Delve","1",0.408524642139673
