"treat_desc","dap","ratio","ratio_lag","dap_lag","seg_area","cum_ratio"
"Control",3,0.053770211734809,0.053770211734809,0,0.161310635204427,0.161310635204427
"Control",6,0.0720637400401756,0.053770211734809,3,0.188750927662477,0.350061562866904
"Control",11,0.0728715469012968,0.0720637400401756,6,0.362338217353681,0.712399780220585
"Control",16,0.0622254120065236,0.0728715469012968,11,0.337742397269551,1.05014217749014
"Control",21,0.0799766195996199,0.0622254120065236,16,0.355505079015359,1.40564725650549
"Control",23,0.0962741630675737,0.0799766195996199,21,0.176250782667194,1.58189803917269
"Control",26,0.0980387809802778,0.0962741630675737,23,0.291469416071777,1.87336745524447
"Control",31,0.0878572295128834,0.0980387809802778,26,0.464740026232903,2.33810748147737
"Control",41,0.0929335668799467,0.0878572295128834,31,0.90395398196415,3.24206146344152
"Control",51,0.150337959325407,0.0929335668799467,41,1.21635763102677,4.45841909446829
"Control",56,0.160877857962623,0.150337959325407,51,0.778039543220075,5.23645863768836
"Control",61,0.18710217588814,0.160877857962623,56,0.869950084626908,6.10640872231527
"Control",63,0.157089277985506,0.18710217588814,61,0.344191453873646,6.45060017618891
"Control",66,0.210127871076111,0.157089277985506,63,0.550825723592425,7.00142589978134
"Control",71,0.216054675204214,0.210127871076111,66,1.06545636570081,8.06688226548215
"Control",76,0.266131314379163,0.216054675204214,71,1.20546497395844,9.27234723944059
"Control",81,0.305497817823198,0.266131314379163,76,1.4290728305059,10.7014200699465
"Control",83,0.305315861303825,0.305497817823198,81,0.610813679127023,11.3122337490735
"Control",91,0.343915408791509,0.305315861303825,83,2.59692508038133,13.9091588294548
"Control",96,0.376889963075519,0.343915408791509,91,1.80201342966757,15.7111722591224
"Control",101,0.335872128990013,0.376889963075519,96,1.78190523016383,17.4930774892862
"Control",111,0.450299410906155,0.335872128990013,101,3.93085769948084,21.4239351887671
"Control",121,0.461870752519462,0.450299410906155,111,4.56085081712808,25.9847860058952
"Control",126,0.211756659438834,0.461870752519462,121,1.68406852989574,27.6688545357909
"Control",136,0.505335394199938,0.211756659438834,126,3.58546026819386,31.2543148039848
"Control",141,0.401856197262532,0.505335394199938,136,2.26797897865617,33.5222937826409
"Control",143,0.165449539292604,0.401856197262532,141,0.567305736555136,34.0895995191961
"Control",146,0.383821695391089,0.165449539292604,143,0.823906852025539,34.9135063712216
"Control",151,0.479360376740806,0.383821695391089,146,2.15795518032974,37.0714615515514
"Control",156,0.460695050610229,0.479360376740806,151,2.35013856837759,39.4216001199289
"Control (+Lime)",3,0.0541542009178859,0.0541542009178859,0,0.162462602753658,0.162462602753658
"Control (+Lime)",6,0.0703504172464212,0.0541542009178859,3,0.186756927246461,0.349219530000119
"Control (+Lime)",11,0.0731090805105244,0.0703504172464212,6,0.358648744392364,0.707868274392482
"Control (+Lime)",16,0.0613630564868799,0.0731090805105244,11,0.336180342493511,1.04404861688599
"Control (+Lime)",21,0.0799703462670247,0.0613630564868799,16,0.353333506884762,1.39738212377075
"Control (+Lime)",23,0.0963245481640721,0.0799703462670247,21,0.176294894431097,1.57367701820185
"Control (+Lime)",26,0.0976875384726251,0.0963245481640721,23,0.291018129955046,1.8646951481569
"Control (+Lime)",31,0.089435289404355,0.0976875384726251,26,0.46780706969245,2.33250221784935
"Control (+Lime)",41,0.093528469116427,0.089435289404355,31,0.91481879260391,3.24732101045326
"Control (+Lime)",51,0.156030081833402,0.093528469116427,41,1.24779275474915,4.4951137652024
"Control (+Lime)",56,0.165345132087047,0.156030081833402,51,0.803438034801123,5.29855180000353
"Control (+Lime)",61,0.190598288737237,0.165345132087047,56,0.889858552060711,6.18841035206424
"Control (+Lime)",63,0.156540114261831,0.190598288737237,61,0.347138402999068,6.53554875506331
"Control (+Lime)",66,0.211748494130249,0.156540114261831,63,0.55243291258812,7.08798166765143
"Control (+Lime)",71,0.216909912150974,0.211748494130249,66,1.07164601570306,8.15962768335448
"Control (+Lime)",76,0.264354149717838,0.216909912150974,71,1.20316015467203,9.36278783802651
"Control (+Lime)",81,0.302178005020445,0.264354149717838,76,1.41633038684571,10.7791182248722
"Control (+Lime)",83,0.301011688572665,0.302178005020445,81,0.60318969359311,11.3823079184653
"Control (+Lime)",91,0.338797368419667,0.301011688572665,83,2.55923622796933,13.9415441464347
"Control (+Lime)",96,0.369968762947246,0.338797368419667,91,1.77191532841728,15.7134594748519
"Control (+Lime)",101,0.329975249913211,0.369968762947246,96,1.74986003215114,17.4633195070031
