"dap","treat_desc","ratio"
-19,"Control",0.062421083211666
-17,"Control",0.0608079902653117
-14,"Control",0.0612228192621842
-9,"Control",0.0719988546159584
-4,"Control",0.0133001736517826
3,"Control",0.053770211734809
6,"Control",0.0720637400401756
11,"Control",0.0728715469012968
16,"Control",0.0622254120065236
21,"Control",0.0799766195996199
23,"Control",0.0962741630675737
26,"Control",0.0980387809802778
31,"Control",0.0878572295128834
41,"Control",0.0929335668799467
51,"Control",0.150337959325407
56,"Control",0.160877857962623
61,"Control",0.18710217588814
63,"Control",0.157089277985506
66,"Control",0.210127871076111
71,"Control",0.216054675204214
76,"Control",0.266131314379163
81,"Control",0.305497817823198
83,"Control",0.305315861303825
91,"Control",0.343915408791509
96,"Control",0.376889963075519
101,"Control",0.335872128990013
111,"Control",0.450299410906155
121,"Control",0.461870752519462
126,"Control",0.211756659438834
136,"Control",0.505335394199938
141,"Control",0.401856197262532
143,"Control",0.165449539292604
146,"Control",0.383821695391089
151,"Control",0.479360376740806
156,"Control",0.460695050610229
-19,"Control (+Lime)",0.0599066461669281
-17,"Control (+Lime)",0.0585687554441392
-14,"Control (+Lime)",0.0594019171937058
-9,"Control (+Lime)",0.0712471123319119
-4,"Control (+Lime)",0.0133894505204201
3,"Control (+Lime)",0.0541542009178859
6,"Control (+Lime)",0.0703504172464212
11,"Control (+Lime)",0.0731090805105244
16,"Control (+Lime)",0.0613630564868799
21,"Control (+Lime)",0.0799703462670247
23,"Control (+Lime)",0.0963245481640721
26,"Control (+Lime)",0.0976875384726251
31,"Control (+Lime)",0.089435289404355
41,"Control (+Lime)",0.093528469116427
51,"Control (+Lime)",0.156030081833402
56,"Control (+Lime)",0.165345132087047
61,"Control (+Lime)",0.190598288737237
63,"Control (+Lime)",0.156540114261831
66,"Control (+Lime)",0.211748494130249
71,"Control (+Lime)",0.216909912150974
76,"Control (+Lime)",0.264354149717838
81,"Control (+Lime)",0.302178005020445
83,"Control (+Lime)",0.301011688572665
91,"Control (+Lime)",0.338797368419667
96,"Control (+Lime)",0.369968762947246
101,"Control (+Lime)",0.329975249913211
111,"Control (+Lime)",0.442105710910012
121,"Control (+Lime)",0.458590282437702
126,"Control (+Lime)",0.207375394211461
136,"Control (+Lime)",0.503907144783686
141,"Control (+Lime)",0.405427155426393
143,"Control (+Lime)",0.163589725084603
146,"Control (+Lime)",0.388471672063073
151,"Control (+Lime)",0.481771886441857
156,"Control (+Lime)",0.46254251456509
-19,"Horsch",0.0613260965478099
-17,"Horsch",0.0622395267922192
-14,"Horsch",0.0629598834083317
-9,"Horsch",0.073098104547393
-4,"Horsch",0.0148881212776557
3,"Horsch",0.0565173229005951
6,"Horsch",0.0726383662479881
11,"Horsch",0.0727647018636235
16,"Horsch",0.0644228212383174
21,"Horsch",0.0799804343909457
23,"Horsch",0.0954158823189035
26,"Horsch",0.0952667721988745
31,"Horsch",0.0845921607398839
41,"Horsch",0.087613189550537
51,"Horsch",0.138305739678952
56,"Horsch",0.150125222716396
61,"Horsch",0.173369575530969
63,"Horsch",0.153842562057587
66,"Horsch",0.1955376994906
71,"Horsch",0.204378925279307
76,"Horsch",0.255382580154307
81,"Horsch",0.301047909750331
83,"Horsch",0.304078375577433
91,"Horsch",0.350806574844302
96,"Horsch",0.39157520678843
101,"Horsch",0.358373523174976
111,"Horsch",0.494628258095765
121,"Horsch",0.497444792810681
126,"Horsch",0.223004182087215
136,"Horsch",0.547395087176969
141,"Horsch",0.422585712178894
143,"Horsch",0.165946440080925
146,"Horsch",0.395934352840202
151,"Horsch",0.50632594232727
156,"Horsch",0.485174110957554
-19,"Rip",0.0632041458797175
-17,"Rip",0.0615658843482379
-14,"Rip",0.0687638329167385
-9,"Rip",0.0761962044402026
-4,"Rip",0.014894672429682
3,"Rip",0.056416883278871
6,"Rip",0.072603682387853
11,"Rip",0.0741940700216219
16,"Rip",0.0634932007696307
21,"Rip",0.0808169099909719
23,"Rip",0.0969306291779503
26,"Rip",0.0952242798652151
31,"Rip",0.0890754425781779
41,"Rip",0.0896614282450173
51,"Rip",0.145412081503309
56,"Rip",0.153867867938243
61,"Rip",0.174401748320088
63,"Rip",0.144105080841109
66,"Rip",0.193653980677482
71,"Rip",0.19786669126479
76,"Rip",0.241669745976105
81,"Rip",0.278611249593087
83,"Rip",0.279371816734783
91,"Rip",0.317204997129738
96,"Rip",0.351186972344294
101,"Rip",0.31686988385627
111,"Rip",0.433377790893428
121,"Rip",0.455289804330096
126,"Rip",0.204302484588698
136,"Rip",0.506928295758553
141,"Rip",0.408275866419717
143,"Rip",0.161016590404324
146,"Rip",0.394953426951543
151,"Rip",0.483385610161349
156,"Rip",0.466869619861245
-19,"Rip (+Lime)",0.0604624810085321
-17,"Rip (+Lime)",0.0596585030124212
-14,"Rip (+Lime)",0.0689008315792307
-9,"Rip (+Lime)",0.0758539641431222
-4,"Rip (+Lime)",0.0148892987903234
3,"Rip (+Lime)",0.0568530774132038
6,"Rip (+Lime)",0.0719359912521516
11,"Rip (+Lime)",0.0728160422838603
16,"Rip (+Lime)",0.065642715808887
21,"Rip (+Lime)",0.0800287953733156
23,"Rip (+Lime)",0.0963588149907688
26,"Rip (+Lime)",0.0924960991173672
